Date,Q,COND,UKIH,Local,Fixed,Slide,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,Mean,Load_COND_min,Load_COND_max,Load_UKIH_min,Load_UKIH_max,Load_Local_min,Load_Local_max,Load_Fixed_min,Load_Fixed_max,Load_Slide_min,Load_Slide_max,Load_LH_min,Load_LH_max,Load_Chapman_min,Load_Chapman_max,Load_CM_min,Load_CM_max,Load_Boughton_min,Load_Boughton_max,Load_Furey_min,Load_Furey_max,Load_Eckhardt_min,Load_Eckhardt_max,Load_EWMA_min,Load_EWMA_max,Load_Willems_min,Load_Willems_max,Load_Mean_min,Load_Mean_max,Load_Q
2018-02-22,52.10299848,8.26990547,11.18249986,18.05198997,15.20614684,37.94457498,20.01965929,12.78015491,13.00726928,7.637057204,7.1776522,7.663410232,5.849805874,7.402913065,13.66026114,1579.08883,2429.367431,2135.231254,3333.279559,5380.937169,8250.770325,4532.64825,6950.06065,11310.51891,14202.86056,3096.160428,4722.077077,3014.480698,3809.508574,3068.05062,3877.206828,1801.367957,1860.753714,1693.00718,1748.820603,1807.583898,1867.174576,1379.805411,1430.347734,1746.139911,1803.704963,3222.073116,3265.348824,14202.86056
2018-02-23,37.94457498,10.41029092,11.98722926,17.48282134,15.20614684,20.07664452,18.81561128,13.22560191,13.27721467,7.803854195,7.510717614,7.83092942,6.045583966,7.653308369,12.24297195,1987.782589,3058.12706,2288.889503,3573.153297,5211.279385,7990.62839,4532.64825,6950.06065,5984.446199,9176.150838,2909.947179,4438.075865,3119.549173,3942.287416,3131.723178,3957.672148,1840.710697,1901.393467,1771.567985,1829.971325,1847.096984,1907.990291,1425.983981,1478.217827,1805.201152,1864.713277,2887.774279,2926.560015,12261.25818
2018-02-24,96.2772798,6.158616347,12.79195865,16.91365271,15.20614684,15.20614684,17.38503239,14.1561526,14.85485961,8.62245047,7.675034215,8.653321758,6.595997311,8.142202738,12.18357968,1175.95084,1809.155138,2442.547753,3813.027035,5041.621601,7730.486455,4532.64825,6950.06065,4532.64825,6950.06065,2688.699569,4100.64236,3339.040025,4219.665966,3503.845446,4427.936553,2033.794637,2100.842812,1810.32567,1870.006736,2041.07631,2108.36454,1555.811078,1612.800494,1920.517644,1983.831413,2873.765306,2912.362887,20629.5253
2018-02-25,39.92675427,5.760158571,13.59668805,16.34448409,15.20614684,15.20614684,15.6494788,15.06679194,15.08604427,8.777926818,8.481948,8.809420027,6.799314928,8.625459414,12.30415417,1099.867718,1692.104182,2596.206003,4052.900773,4871.963818,7470.34452,4532.64825,6950.06065,4532.64825,6950.06065,2420.285794,3691.273864,3553.834347,4491.10934,3558.375435,4496.848077,2070.467154,2138.724313,2000.654039,2066.609666,2077.895521,2146.397571,1603.768011,1662.514092,2034.504363,2101.575935,2902.205452,2941.185013,11030.32484
2018-02-26,20.07664452,6.281971946,14.40141744,15.77531547,15.20614684,15.20614684,14.48578524,15.06377359,14.8576109,8.704351208,8.635013687,8.735379597,6.880306639,8.665998759,12.21810385,1199.504851,1845.392079,2749.864252,4292.774512,4702.306034,6314.024395,4532.64825,6314.024395,4532.64825,6314.024395,2240.313602,3416.791137,3553.122404,4490.209631,3504.494397,4428.756656,2053.112728,2120.797763,2036.757948,2103.903815,2060.431456,2128.357768,1622.871687,1682.317537,2044.066459,2111.453266,2881.908591,2920.615545,6314.024395
2018-02-27,15.20614684,6.076744159,15.20614684,15.20614684,15.20614684,15.20614684,14.22992494,14.77801176,14.52930865,8.578391234,8.562248673,8.608715094,6.931094264,8.566890255,12.13409769,1160.317837,1785.104364,4532.64825,4532.64825,4532.64825,4532.64825,4532.64825,4532.64825,4532.64825,4532.64825,2200.743271,3356.440855,4405.029746,4405.029746,4330.896321,4330.896321,2023.402297,2090.107867,2019.594719,2086.174765,2030.554847,2097.496215,1634.851066,1694.735721,2020.689538,2087.305677,2862.093889,2900.534711,4532.64825
2018-02-28,65.69508504,19.28987312,14.70918618,14.75307729,15.20614684,15.20614684,14.07401498,15.02734869,15.35829567,9.025820588,8.437853034,9.058160015,7.289554608,8.726313626,12.23932653,3683.285533,5666.593128,3774.494846,4384.514215,3785.757657,4397.597278,4112.228702,4532.64825,2351.721846,4532.64825,2176.63086,3319.666061,4414.43395,4479.352096,4511.652935,4578.000772,2128.938354,2199.123135,1990.253271,2055.866016,2136.566319,2207.002571,1719.401824,1782.383576,2058.293048,2126.148862,2886.914427,2925.688614,10103.37852
2018-03-01,159.1406801,0,14.21222551,14.30000774,13.11070016,15.20614684,13.53888738,16.91233737,18.26419543,10.51123744,8.878782418,10.55047783,8.215846473,9.685301991,12.78217888,0,0,3646.970764,4236.38018,3669.496385,4262.546306,3545.552866,3908.037504,2351.721846,4532.64825,2093.870166,3193.444443,4968.168226,5041.229523,5365.290048,5444.191372,2479.306597,2561.041979,2094.256166,2163.297579,2488.562307,2570.602822,1937.888139,2008.873053,2284.491551,2359.804459,3014.958097,3055.45204,25803.70644
2018-03-02,69.65944362,2.554082642,13.71526485,13.84693818,13.11070016,15.20614684,12.39644169,18.75640997,19.01386411,10.93732161,10.34302625,10.9783831,8.590652416,10.63365808,13.12740061,487.686756,750.2873169,3519.446681,4088.246145,3553.235113,4127.495334,3545.552866,3908.037504,2351.721846,4532.64825,1917.184087,2923.973495,5509.882992,5590.910684,5585.512722,5667.652615,2579.807923,2664.856536,2439.630288,2520.05766,2589.493179,2674.861086,2026.294367,2100.517603,2508.182199,2590.869525,3096.386236,3137.973841,16531.02189
2018-03-03,38.22774345,6.313170685,13.21830418,13.39386863,13.11070016,15.85743432,10.81752407,19.13244961,19.01838993,10.99456743,10.76273142,11.03569124,8.771438671,10.87331328,13.08220108,1205.462063,1854.557021,3391.922599,3940.11211,3436.973842,3992.444362,3545.552866,3908.037504,2452.447362,4726.784022,1672.995002,2551.551037,5620.348396,5703.000579,5586.842227,5669.001671,2593.310609,2678.804365,2538.626985,2622.317985,2603.010564,2688.824099,2068.936782,2144.722012,2564.710149,2649.261033,3085.724933,3127.169346,11196.75315
2018-03-04,25.40021176,6.887093681,12.72134352,12.94079908,13.11070016,13.11070016,9.337999384,18.98481187,18.73245759,10.90527205,10.81876836,10.94576977,8.872874187,10.85723081,12.61156058,1315.049216,2023.15264,3264.398517,3791.978075,3320.71257,3857.39339,3545.552866,3908.037504,2027.648444,3908.037504,1444.177633,2202.572591,5576.978335,5658.992722,5502.846743,5583.770959,2572.248328,2657.047723,2551.844532,2635.971274,2581.800607,2666.914912,2092.86258,2169.524213,2560.916745,2645.342572,2974.714017,3014.667441,7556.664599
2018-03-05,18.97228749,6.606753439,12.22438285,12.48772953,13.11070016,11.24178826,8.296249364,18.62358881,18.31401801,10.74657477,10.7303382,10.78613007,8.934480608,10.7340037,12.18583203,1261.519929,1940.79989,3136.874435,3643.84404,3204.451299,3722.342418,3545.552866,3908.037504,1738.610005,3350.952245,1283.064742,1956.85293,5470.865449,5470.865449,5379.92593,5379.92593,2534.816084,2618.38145,2530.986332,2614.425442,2544.146072,2628.01902,2107.39381,2184.587722,2531.850921,2615.318534,2874.296572,2912.901288,5573.299173
2018-03-06,15.85743432,6.413416126,11.72742219,12.03465998,13.11070016,9.684361674,7.556902482,15.85743432,15.85743432,10.55818979,10.57350712,10.59667726,8.976710626,10.56161964,11.42463496,1224.603329,1884.005121,3009.350352,3495.710005,3088.190027,3587.291446,3545.552866,3908.037504,1497.744639,2886.714528,1168.72031,1782.461702,4507.57085,4507.57085,4507.57085,4507.57085,2490.381343,2572.481827,2493.99427,2576.213862,2499.459458,2581.85922,2117.354689,2194.913468,2491.190347,2573.317501,2694.751498,2730.944742,4507.57085
