 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    90     3    31  2018       3      30  aqu030                    0.190          6.918          0.000          0.239          0.050          0.000          0.045          0.000          0.500          0.000          0.091          0.032          0.000          0.000          0.190          0.000          0.000
    90     3    31  2018       4      40  aqu040                    0.317          6.918          0.000          0.368          0.051          0.000          0.026          0.000          0.500          0.000          0.040          0.019          0.000          0.000          0.317          0.000          0.000
    90     3    31  2018       5      50  aqu050                    0.194          6.918          0.000          0.242          0.048          0.000          0.026          0.000          0.500          0.000          0.047          0.019          0.000          0.000          0.194          0.000          0.000
    90     3    31  2018       6      60  aqu060                    0.107          6.918          0.000          0.161          0.054          0.000          0.137          0.000          0.500          0.000          0.371          0.099          0.000          0.000          0.107          0.000          0.000
    90     3    31  2018       7      70  aqu070                    0.089          6.918          0.000          0.135          0.046          0.000          0.070          0.000          0.500          0.000          0.234          0.050          0.000          0.000          0.089          0.000          0.000
    90     3    31  2018       8      80  aqu080                    0.342          6.918          0.000          0.400          0.058          0.000          0.031          0.000          0.500          0.000          0.044          0.022          0.000          0.000          0.342          0.000          0.000
    90     3    31  2018       9      90  aqu090                    0.189          6.918          0.000          0.251          0.062          0.000          0.127          0.000          0.500          0.000          0.316          0.092          0.000          0.000          0.189          0.000          0.000
    90     3    31  2018      10     100  aqu100                    0.202          6.918          0.000          0.242          0.040          0.000          0.026          0.000          0.500          0.000          0.033          0.019          0.000          0.000          0.202          0.000          0.000
    90     3    31  2018      11     110  aqu110                    0.226          6.918          0.000          0.271          0.045          0.000          0.022          0.000          0.500          0.000          0.035          0.016          0.000          0.000          0.226          0.000          0.000
    90     3    31  2018      12     120  aqu120                    0.240          6.918          0.000          0.322          0.083          0.000          0.035          0.000          0.500          0.000          0.059          0.025          0.000          0.000          0.240          0.000          0.000
    90     3    31  2018      13     130  aqu130                    0.072          6.918          0.000          0.125          0.053          0.000          0.022          0.000          0.500          0.000          0.024          0.016          0.000          0.000          0.072          0.000          0.000
    90     3    31  2018      14     140  aqu140                    0.326          6.918          0.000          0.378          0.053          0.000          0.031          0.000          0.500          0.000          0.042          0.022          0.000          0.000          0.326          0.000          0.000
    90     3    31  2018      15     150  aqu150                    0.063          6.918          0.000          0.094          0.031          0.000          0.011          0.000          0.500          0.000          0.019          0.008          0.000          0.000          0.063          0.000          0.000
    90     3    31  2018      16     160  aqu160                    0.115          6.918          0.000          0.148          0.032          0.000          0.019          0.000          0.500          0.000          0.026          0.014          0.000          0.000          0.115          0.000          0.000
    90     3    31  2018      17     170  aqu170                    0.264          6.918          0.000          0.315          0.052          0.000          0.041          0.000          0.500          0.000          0.083          0.029          0.000          0.000          0.264          0.000          0.000
    90     3    31  2018      18     180  aqu180                    0.560          6.918          0.000          0.620          0.060          0.000          0.044          0.000          0.500          0.000          0.070          0.032          0.000          0.000          0.560          0.000          0.000
    90     3    31  2018      19     190  aqu190                    0.454          6.918          0.000          0.515          0.060          0.000          0.039          0.000          0.500          0.000          0.060          0.028          0.000          0.000          0.454          0.000          0.000
    90     3    31  2018      20     200  aqu200                    0.097          6.918          0.000          0.128          0.031          0.000          0.018          0.000          0.500          0.000          0.021          0.013          0.000          0.000          0.097          0.000          0.000
    90     3    31  2018      21     210  aqu210                    0.211          6.918          0.000          0.252          0.042          0.000          0.024          0.000          0.500          0.000          0.031          0.017          0.000          0.000          0.211          0.000          0.000
    90     3    31  2018      22     220  aqu220                    0.242          6.918          0.000          0.290          0.048          0.000          0.026          0.000          0.500          0.000          0.033          0.018          0.000          0.000          0.242          0.000          0.000
    90     3    31  2018      23     230  aqu230                    0.210          6.918          0.000          0.249          0.039          0.000          0.024          0.000          0.500          0.000          0.033          0.017          0.000          0.000          0.210          0.000          0.000
    90     3    31  2018      24     240  aqu240                    0.232          6.918          0.000          0.275          0.043          0.000          0.027          0.000          0.500          0.000          0.034          0.020          0.000          0.000          0.232          0.000          0.000
    90     3    31  2018      25     250  aqu250                    0.251          6.918          0.000          0.289          0.037          0.000          0.026          0.000          0.500          0.000          0.030          0.019          0.000          0.000          0.251          0.000          0.000
    90     3    31  2018      26     260  aqu260                    0.240          6.918          0.000          0.279          0.039          0.000          0.031          0.000          0.500          0.000          0.042          0.022          0.000          0.000          0.240          0.000          0.000
    90     3    31  2018      27     270  aqu270                    0.243          6.918          0.000          0.280          0.036          0.000          0.026          0.000          0.500          0.000          0.030          0.019          0.000          0.000          0.243          0.000          0.000
    90     3    31  2018      28       2  aqu_deep002               0.025          6.918          0.000          0.045          0.020          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       1      10  aqu010                    0.245          6.918          0.000          0.297          0.052          0.000          0.058          0.000          0.500          0.000          0.064          0.040          0.000          0.000          0.245          0.000          0.000
   120     4    30  2018       2      20  aqu020                    0.886          6.917          0.000          0.964          0.078          0.000          0.110          0.000          0.500          0.000          0.204          0.077          0.000          0.000          0.886          0.000          0.000
   120     4    30  2018       3      30  aqu030                    0.209          6.918          0.000          0.257          0.047          0.000          0.119          0.000          0.500          0.000          0.154          0.083          0.000          0.000          0.209          0.000          0.000
   120     4    30  2018       4      40  aqu040                    0.960          6.917          0.000          1.035          0.075          0.000          0.071          0.000          0.500          0.000          0.116          0.050          0.000          0.000          0.960          0.000          0.000
   120     4    30  2018       5      50  aqu050                    0.744          6.917          0.000          0.812          0.068          0.000          0.080          0.000          0.500          0.000          0.130          0.056          0.000          0.000          0.744          0.000          0.000
   120     4    30  2018       6      60  aqu060                    0.125          6.918          0.000          0.178          0.053          0.000          0.456          0.000          0.500          0.000          0.583          0.318          0.000          0.000          0.125          0.000          0.000
   120     4    30  2018       7      70  aqu070                    0.142          6.918          0.000          0.194          0.052          0.000          0.389          0.000          0.500          0.000          0.578          0.272          0.000          0.000          0.142          0.000          0.000
   120     4    30  2018       8      80  aqu080                    0.857          6.917          0.000          0.933          0.076          0.000          0.076          0.000          0.500          0.000          0.112          0.053          0.000          0.000          0.857          0.000          0.000
   120     4    30  2018       9      90  aqu090                    0.205          6.918          0.000          0.259          0.055          0.000          0.378          0.000          0.500          0.000          0.469          0.264          0.000          0.000          0.205          0.000          0.000
   120     4    30  2018      10     100  aqu100                    0.261          6.918          0.000          0.304          0.043          0.000          0.046          0.000          0.500          0.000          0.051          0.032          0.000          0.000          0.261          0.000          0.000
   120     4    30  2018      11     110  aqu110                    0.474          6.918          0.000          0.530          0.056          0.000          0.057          0.000          0.500          0.000          0.083          0.040          0.000          0.000          0.474          0.000          0.000
   120     4    30  2018      12     120  aqu120                    0.561          6.917          0.000          0.639          0.079          0.000          0.082          0.000          0.500          0.000          0.100          0.057          0.000          0.000          0.561          0.000          0.000
   120     4    30  2018      13     130  aqu130                    0.091          6.918          0.000          0.147          0.056          0.000          0.033          0.000          0.500          0.000          0.034          0.023          0.000          0.000          0.091          0.000          0.000
   120     4    30  2018      14     140  aqu140                    0.348          6.918          0.000          0.393          0.045          0.000          0.051          0.000          0.500          0.000          0.056          0.036          0.000          0.000          0.348          0.000          0.000
   120     4    30  2018      15     150  aqu150                    0.258          6.918          0.000          0.292          0.033          0.000          0.027          0.000          0.500          0.000          0.038          0.019          0.000          0.000          0.258          0.000          0.000
   120     4    30  2018      16     160  aqu160                    0.126          6.918          0.000          0.154          0.028          0.000          0.033          0.000          0.500          0.000          0.034          0.023          0.000          0.000          0.126          0.000          0.000
   120     4    30  2018      17     170  aqu170                    0.290          6.918          0.000          0.338          0.047          0.000          0.119          0.000          0.500          0.000          0.155          0.083          0.000          0.000          0.290          0.000          0.000
   120     4    30  2018      18     180  aqu180                    0.629          6.917          0.000          0.685          0.056          0.000          0.086          0.000          0.500          0.000          0.100          0.060          0.000          0.000          0.629          0.000          0.000
   120     4    30  2018      19     190  aqu190                    0.505          6.918          0.000          0.561          0.056          0.000          0.073          0.000          0.500          0.000          0.083          0.051          0.000          0.000          0.505          0.000          0.000
   120     4    30  2018      20     200  aqu200                    0.151          6.918          0.000          0.185          0.034          0.000          0.030          0.000          0.500          0.000          0.034          0.021          0.000          0.000          0.151          0.000          0.000
   120     4    30  2018      21     210  aqu210                    0.268          6.918          0.000          0.313          0.045          0.000          0.044          0.000          0.500          0.000          0.051          0.031          0.000          0.000          0.268          0.000          0.000
