 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    90     3    31  2018       4      40  aqu040                    0.000          3.258        337.046          0.459          0.023          0.935          0.678          0.000          0.500          0.000          0.376          0.490          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       5      50  aqu050                    0.000          3.306        334.680          0.349          0.017          0.935          0.255          0.000          0.500          0.000          0.112          0.184          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       6      60  aqu060                    0.000          3.335        333.224          0.373          0.019          0.845          0.294          0.000          0.500          0.000          0.205          0.212          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       7      70  aqu070                    0.000          3.318        334.063          0.421          0.021          0.813          0.245          0.000          0.500          0.000          0.116          0.177          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       8      80  aqu080                    0.000          3.311        334.410          0.259          0.013          0.895          0.419          0.000          0.500          0.000          0.237          0.302          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       9      90  aqu090                    0.000          3.301        334.944          0.728          0.036          0.845          0.640          0.000          0.500          0.000          0.420          0.462          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      10     100  aqu100                    0.000          3.315        334.201          0.466          0.023          0.778          0.458          0.000          0.500          0.000          0.260          0.331          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      11     110  aqu110                    0.000          3.289        335.532          0.365          0.018          0.895          0.660          0.000          0.500          0.000          0.395          0.477          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      12     120  aqu120                    0.902          2.997        350.075          1.920          0.096          0.895          2.911          0.000          0.500          0.000          1.112          2.101          0.009          0.001          0.902          0.000          0.000
    90     3    31  2018      13     130  aqu130                    0.000          3.085        345.726          1.115          0.056          0.895          1.524          0.000          0.500          0.000          0.612          1.100          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      14     140  aqu140                    0.000          3.296        335.194          0.519          0.026          0.895          0.947          0.000          0.500          0.000          0.617          0.684          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      15     150  aqu150                    0.000          3.120        343.988          1.821          0.091          0.813          0.933          0.000          0.500          0.000          0.439          0.673          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      16     160  aqu160                    0.000          3.225        338.732          0.966          0.048          0.813          0.994          0.000          0.500          0.000          0.518          0.718          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      17     170  aqu170                    0.000          3.311        334.446          0.737          0.037          0.813          0.621          0.000          0.500          0.000          0.419          0.449          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      18     180  aqu180                    0.000          3.320        333.992          0.512          0.026          0.845          1.356          0.000          0.500          0.000          0.749          0.979          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      19     190  aqu190                    0.000          3.309        334.499          0.726          0.036          0.845          0.625          0.000          0.500          0.000          0.421          0.451          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      20     200  aqu200                    0.000          3.300        334.961          0.293          0.015          0.998          0.116          0.000          0.500          0.000          0.081          0.083          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      21     210  aqu210                    0.000          3.296        335.193          0.827          0.041          0.873          1.172          0.000          0.500          0.000          0.686          0.847          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      22     220  aqu220                    0.000          3.292        335.363          0.992          0.050          0.816          0.596          0.000          0.500          0.000          0.415          0.430          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      23     230  aqu230                    0.000          3.292        335.385          0.391          0.020          0.998          0.198          0.000          0.500          0.000          0.148          0.143          0.000          0.000          0.000          0.000          0.000
